,user_id,timestamp,group,landing_page,converted
779,861934,42:45.7,control,old_page,1
780,766529,07:34.0,control,old_page,1
782,652200,04:33.9,treatment,new_page,1
784,824497,09:20.5,control,old_page,1
801,784122,30:52.3,control,old_page,1
808,805301,37:11.5,treatment,new_page,1
811,806355,37:13.2,treatment,new_page,1
813,921111,35:41.4,treatment,new_page,1
814,806246,09:30.2,control,old_page,1
821,632109,42:07.8,treatment,new_page,1
829,863740,16:24.7,control,old_page,1
840,695261,25:06.6,treatment,new_page,1
868,843091,43:41.2,treatment,new_page,1
871,928411,51:45.7,control,old_page,1
875,806631,55:48.0,treatment,new_page,1
879,934227,30:11.6,control,old_page,1
885,920288,11:52.0,treatment,new_page,1
886,864224,19:25.9,control,old_page,1
888,634113,16:59.8,control,old_page,1
907,640807,29:43.0,control,old_page,1
914,863768,34:10.4,control,old_page,1
917,799598,01:19.1,treatment,new_page,1
920,894393,24:43.0,control,old_page,1
928,855031,11:23.3,treatment,new_page,1
933,721406,19:51.3,control,old_page,1
938,711955,46:24.0,treatment,new_page,1
940,704956,35:59.6,control,old_page,1
945,810660,13:58.0,treatment,new_page,1
957,880820,10:42.0,control,old_page,1
980,880688,28:37.7,treatment,new_page,1
983,828474,14:37.0,treatment,new_page,1
984,812318,00:11.1,control,old_page,1
993,644014,36:51.5,control,old_page,1
1001,709667,53:44.8,treatment,new_page,1
1008,807093,39:41.6,control,old_page,1
1010,737590,22:13.8,treatment,new_page,1
1011,887934,30:53.6,control,old_page,1
1013,710344,06:34.2,treatment,new_page,1
1025,920810,06:58.5,control,old_page,1
1040,821140,44:51.2,treatment,new_page,1
1062,746469,10:32.4,control,old_page,1
1071,677625,47:27.5,control,old_page,1
1073,921173,34:09.2,treatment,new_page,1
1076,836104,32:04.7,control,old_page,1
1083,836715,03:31.2,control,old_page,1
1089,763894,03:52.8,treatment,new_page,1
1092,724695,25:20.1,treatment,new_page,1
1101,733096,55:14.8,control,old_page,1
1107,631477,49:40.7,control,old_page,1
1108,804793,11:30.3,control,old_page,1
1118,667200,11:10.4,treatment,new_page,1
1124,714361,08:20.9,control,old_page,1
1127,672987,09:14.2,treatment,new_page,1
1134,911707,29:23.2,control,old_page,1
1144,720164,45:22.3,treatment,new_page,1
1147,705081,41:15.8,treatment,new_page,1
1154,672900,30:58.0,treatment,new_page,1
1155,842030,11:34.2,treatment,new_page,1
1159,944045,29:36.5,treatment,new_page,1
1169,788382,03:27.5,treatment,new_page,1
1175,683001,47:09.6,control,old_page,1
1179,650721,58:10.0,treatment,new_page,1
1185,900814,31:42.8,treatment,new_page,1
1202,803518,18:06.0,control,old_page,1
1208,811542,28:55.7,control,old_page,1
1228,862579,58:32.0,treatment,new_page,1
1230,827652,32:56.0,control,old_page,1
1234,819011,13:29.8,treatment,new_page,1
1256,933860,23:50.2,control,old_page,1
1260,634833,33:41.2,control,old_page,1
1266,838566,13:30.4,treatment,new_page,1
1268,741443,02:32.3,control,old_page,1
1277,873945,09:08.6,control,old_page,1
1280,939676,37:47.8,treatment,new_page,1
1301,914881,32:53.3,control,old_page,1
1303,814603,02:13.9,control,old_page,1
1307,710401,26:34.9,control,old_page,1
1310,760632,58:48.4,treatment,new_page,1
1314,652770,12:36.4,treatment,new_page,1
1335,777170,19:36.3,treatment,new_page,1
1339,770898,23:43.6,control,old_page,1
1342,901448,51:03.1,treatment,new_page,1
1344,690436,36:15.8,treatment,new_page,1
1347,789882,22:13.7,control,old_page,1
1363,933129,40:37.1,control,old_page,1
1370,763180,20:27.1,treatment,new_page,1
1377,910512,27:56.1,control,old_page,1
1382,888581,26:17.9,control,old_page,1
1385,830672,32:06.2,control,old_page,1
1386,630484,14:21.0,treatment,new_page,1
1387,888474,18:32.9,control,old_page,1
1390,710282,39:35.2,control,old_page,1
1392,698448,13:10.0,control,old_page,1
1394,772025,40:07.9,control,old_page,1
1396,826305,35:06.0,treatment,new_page,1
1404,793026,38:31.9,control,old_page,1
1406,730331,30:40.7,treatment,new_page,1
1415,728092,19:53.6,control,old_page,1
1424,640808,30:53.1,control,old_page,1
1427,809170,48:01.0,treatment,new_page,1
1453,785923,11:51.4,treatment,new_page,1
1454,682130,19:02.4,control,old_page,1
1455,801763,43:30.2,control,old_page,1
1465,647610,09:11.2,treatment,new_page,1
1469,647642,45:55.7,control,old_page,1
1470,807016,59:31.0,control,old_page,1
1479,761154,35:24.3,treatment,new_page,1
1481,742559,46:57.7,treatment,new_page,1
1482,638797,36:59.5,control,old_page,1
1484,730406,21:30.8,control,old_page,1
1494,799416,29:55.0,control,old_page,1
1497,912179,58:30.2,control,old_page,1
1506,780478,20:13.9,control,old_page,1
1512,940666,17:31.2,control,old_page,1
1537,938906,44:52.4,control,old_page,1
1541,921793,09:38.4,control,old_page,1
1549,860101,26:32.9,treatment,new_page,1
1552,774342,59:06.8,control,old_page,1
1561,919139,00:10.0,treatment,new_page,1
1564,678238,40:11.5,control,old_page,1
1586,702193,09:22.0,treatment,new_page,1
1592,894307,36:31.3,control,old_page,1
1595,890196,39:45.7,control,old_page,1
1627,728160,37:43.0,treatment,new_page,1
1628,884445,30:34.3,control,old_page,1
1634,879260,14:30.8,treatment,new_page,1
1638,755743,57:00.3,control,old_page,1
1645,923273,33:19.1,treatment,new_page,1
1674,686993,11:26.7,treatment,new_page,1
1687,884256,24:17.4,treatment,new_page,1
1690,823743,57:20.2,control,old_page,1
1699,735526,40:44.0,treatment,new_page,1
1702,746580,48:34.3,treatment,new_page,1
1708,846027,06:02.3,control,old_page,1
1712,828237,53:44.7,treatment,new_page,1
1721,916064,49:44.5,treatment,new_page,1
1724,673583,42:32.8,control,old_page,1
1737,937887,29:10.0,control,old_page,1
1754,854774,21:20.9,control,old_page,1
1755,799033,27:36.5,control,old_page,1
1761,941820,00:27.4,treatment,new_page,1
1767,689354,53:30.4,treatment,new_page,1
1769,832022,43:18.7,control,old_page,1
1771,804109,48:12.2,control,old_page,1
1774,695238,16:40.5,control,old_page,1
1779,782881,08:03.0,treatment,new_page,1
1786,730970,44:14.4,treatment,new_page,1
1799,700587,22:37.5,control,old_page,1
1804,711667,14:26.9,control,old_page,1
1810,864402,46:42.1,control,old_page,1
1816,889344,29:48.6,control,old_page,1
1820,918554,17:01.7,control,old_page,1
1825,765129,57:56.6,control,old_page,1
1866,660253,19:00.4,control,old_page,1
1875,692278,06:31.4,treatment,new_page,1
1880,817331,26:25.7,control,old_page,1
1886,773322,58:05.0,treatment,new_page,1
1893,683466,56:13.8,control,old_page,1
1897,911418,40:22.7,control,old_page,1
1903,897468,48:21.5,treatment,new_page,1
1909,653528,46:37.2,treatment,new_page,1
1929,827042,07:27.5,control,old_page,1
1931,716368,34:27.7,treatment,new_page,1
1938,762934,35:05.0,treatment,new_page,1
1940,723086,03:20.0,control,old_page,1
1946,765339,46:45.2,treatment,new_page,1
1954,789620,43:05.2,treatment,new_page,1
1972,728239,52:35.5,control,old_page,1
1978,760953,34:23.5,control,old_page,1
1997,921694,15:26.0,control,old_page,1
2005,929303,36:38.6,control,old_page,1
2006,768961,11:33.9,treatment,new_page,1
2030,866193,19:47.8,treatment,new_page,1
2033,672405,13:36.6,control,old_page,1
2076,728436,20:29.0,treatment,new_page,1
2082,827555,53:38.4,control,old_page,1
2085,715805,09:27.9,treatment,new_page,1
2089,712349,43:09.9,treatment,new_page,1
2103,715354,53:58.9,control,old_page,1
2105,817933,19:35.0,treatment,new_page,1
2123,632029,50:08.9,control,old_page,1
2133,716017,02:23.0,treatment,new_page,1
2152,823204,01:59.2,treatment,new_page,1
2159,660052,59:33.9,control,old_page,1
2167,945778,54:48.0,treatment,new_page,1
2171,915033,07:01.5,treatment,new_page,1
2177,672884,22:46.1,treatment,new_page,1
2180,781158,33:05.8,control,old_page,1
2188,863766,28:14.7,treatment,new_page,1
2190,758122,26:29.4,treatment,new_page,1
2191,918835,35:28.3,treatment,new_page,1
2192,723917,00:52.8,treatment,new_page,1
2258,639693,42:40.8,treatment,new_page,1
2268,785040,46:10.3,control,old_page,1
2279,646682,22:30.1,treatment,new_page,1
2286,871484,18:54.9,control,old_page,1
2289,857469,23:12.7,control,old_page,1
2312,902310,46:04.6,control,old_page,1
2328,840290,12:11.6,treatment,new_page,1
2349,876300,55:39.6,control,old_page,1
2374,805235,36:53.8,control,old_page,1
2379,658338,45:40.6,treatment,new_page,1
2387,878307,02:52.4,control,old_page,1
2391,757427,07:00.5,control,old_page,1
2398,740367,34:36.8,control,old_page,1
2403,933309,41:41.0,control,old_page,1
2404,714969,29:42.4,control,old_page,1
2407,759482,09:22.7,control,old_page,1
2415,907797,12:19.1,treatment,new_page,1
2432,937546,56:37.7,treatment,new_page,1
2436,874744,00:11.8,control,old_page,1
2448,748024,03:25.8,control,old_page,1
2462,707662,47:54.5,treatment,new_page,1
2463,753113,55:48.9,control,old_page,1
2473,770772,47:39.7,control,old_page,1
2498,899308,19:13.6,treatment,new_page,1
2505,852046,32:25.8,control,old_page,1
2520,868336,42:20.4,treatment,new_page,1
2528,649808,22:13.0,treatment,new_page,1
2531,924300,17:42.7,control,old_page,1
2536,647089,11:02.3,treatment,new_page,1
2541,860168,18:26.3,treatment,new_page,1
2546,835320,48:05.2,control,old_page,1
2551,661653,09:03.1,treatment,new_page,1
2566,630665,31:22.0,control,old_page,1
2594,906573,32:31.6,treatment,new_page,1
2599,667812,27:23.3,treatment,new_page,1
2605,889470,30:02.6,treatment,new_page,1
2615,781570,54:00.0,control,old_page,1
2616,683791,02:49.3,control,old_page,1
2618,938345,58:14.2,treatment,new_page,1
2634,820962,21:47.0,control,old_page,1
2639,824011,37:55.9,control,old_page,1
2655,689842,49:56.6,control,old_page,1
2663,635384,02:06.7,control,old_page,1
2666,861396,52:37.4,control,old_page,1
2668,818968,43:14.8,treatment,new_page,1
2675,937211,46:45.9,treatment,new_page,1
2680,650251,03:43.2,control,old_page,1
2684,894302,14:30.9,control,old_page,1
2691,801835,37:58.7,control,old_page,1
2696,883510,38:45.6,control,old_page,1
2698,659490,36:04.7,treatment,new_page,1
2699,904283,06:03.7,treatment,new_page,1
2702,759395,04:12.5,treatment,new_page,1
2711,777437,41:02.4,treatment,new_page,1
2722,647909,30:52.9,control,old_page,1
2733,895669,46:46.2,treatment,new_page,1
2741,929603,17:09.4,control,old_page,1
2763,848412,44:06.7,treatment,new_page,1
2771,776443,59:21.5,control,old_page,1
2778,705635,07:01.6,control,old_page,1
2783,756413,37:05.4,treatment,new_page,1
2789,885187,25:21.6,control,old_page,1
2790,655558,41:54.4,control,old_page,1
2793,638001,22:29.2,control,old_page,1
2796,751426,24:31.9,control,old_page,1
2800,694479,05:22.9,control,old_page,1
2811,889635,03:57.6,control,old_page,1
2820,676677,48:27.6,control,old_page,1
2831,859874,48:39.7,treatment,new_page,1
2834,841288,29:23.1,treatment,new_page,1
2848,647490,29:51.7,treatment,new_page,1
2859,811888,11:50.9,control,old_page,1
2869,756250,16:53.2,control,old_page,1
2879,665793,19:39.1,control,old_page,1
2880,749714,36:37.2,control,old_page,1
2887,847774,25:57.8,treatment,new_page,1
2902,728948,46:21.7,control,old_page,1
2909,755973,59:32.6,control,old_page,1
2932,842871,11:16.5,treatment,new_page,1
2941,939951,06:28.8,control,old_page,1
2944,721588,25:03.3,treatment,new_page,1
2945,784808,52:43.1,control,old_page,1
2957,812587,50:48.4,control,old_page,1
2963,816615,26:47.6,treatment,new_page,1
2969,680314,04:37.2,control,old_page,1
2978,671788,12:32.9,treatment,new_page,1
2988,777634,42:13.9,control,old_page,1
2991,933437,56:07.4,control,old_page,1
2994,922274,34:21.8,treatment,new_page,1
2996,870339,39:35.2,treatment,new_page,1
2998,931331,14:16.7,treatment,new_page,1
3011,798016,51:05.1,treatment,new_page,1
3017,817839,58:28.2,control,old_page,1
3019,911919,52:57.1,control,old_page,1
3020,638344,04:27.8,treatment,new_page,1
3030,862628,01:37.4,control,old_page,1
3035,740634,05:57.4,control,old_page,1
3049,801251,47:27.9,control,old_page,1
3070,713137,02:16.7,treatment,new_page,1
3076,671397,11:17.1,treatment,new_page,1
3080,917165,21:33.4,treatment,new_page,1
3093,853608,24:31.0,treatment,new_page,1
3099,781525,07:02.8,control,old_page,1
3100,751031,51:48.8,treatment,new_page,1
3102,850888,42:24.1,treatment,new_page,1
3108,707223,37:34.0,control,old_page,1
3112,646065,22:23.6,treatment,new_page,1
3117,765704,06:42.4,treatment,new_page,1
3126,642146,23:16.0,control,old_page,1
3138,889888,41:07.2,treatment,new_page,1
3145,837493,53:29.2,treatment,new_page,1
3150,671297,28:21.2,treatment,new_page,1
3160,660970,33:47.0,treatment,new_page,1
3171,712161,50:34.8,treatment,new_page,1
3180,923326,53:13.7,treatment,new_page,1
3188,736774,59:16.8,control,old_page,1
3194,807913,36:12.3,treatment,new_page,1
3195,864706,13:41.5,treatment,new_page,1
3198,682510,11:08.6,treatment,new_page,1
3214,726832,04:53.1,treatment,new_page,1
3224,695896,43:21.2,treatment,new_page,1
3234,830242,19:45.2,treatment,new_page,1
3239,803611,52:38.8,control,old_page,1
3284,723305,12:56.7,treatment,new_page,1
3285,928801,43:57.8,control,old_page,1
3297,634388,00:22.1,control,old_page,1
3303,931269,31:46.9,treatment,new_page,1
3305,824018,37:06.7,treatment,new_page,1
3309,782484,46:42.7,treatment,new_page,1
3316,868182,38:10.2,treatment,new_page,1
3322,823893,06:49.5,treatment,new_page,1
3325,639177,49:52.4,control,old_page,1
3332,663151,49:22.4,treatment,new_page,1
3337,707795,02:49.5,treatment,new_page,1
3344,935063,37:47.4,control,old_page,1
3346,869537,29:47.1,control,old_page,1
3351,786907,29:08.7,control,old_page,1
3353,729569,10:44.4,treatment,new_page,1
3361,861409,25:26.7,treatment,new_page,1
3369,711306,24:16.4,treatment,new_page,1
3370,731708,32:22.5,treatment,new_page,1
3371,843989,23:17.8,control,old_page,1
3376,717572,42:27.0,treatment,new_page,1
3381,655981,43:47.7,treatment,new_page,1
3384,819928,50:07.1,treatment,new_page,1
3399,810734,11:04.6,control,old_page,1
3401,871148,03:35.4,control,old_page,1
3412,751766,27:45.5,control,old_page,1
3416,848755,07:40.4,control,old_page,1
3418,937766,28:57.6,control,old_page,1
3428,700371,05:58.9,treatment,new_page,1
3436,703192,31:53.0,treatment,new_page,1
3438,748051,20:10.4,treatment,new_page,1
3446,869173,12:53.3,control,old_page,1
3449,733012,05:28.6,control,old_page,1
3451,632906,58:19.2,control,old_page,1
3474,636637,47:03.1,control,old_page,1
3500,635436,25:42.8,control,old_page,1
3515,715790,00:26.2,treatment,new_page,1
3516,809314,59:48.1,treatment,new_page,1
3528,669458,29:00.4,treatment,new_page,1
3537,859533,55:45.3,treatment,new_page,1
3540,717061,02:24.0,control,old_page,1
3551,872338,36:06.0,control,old_page,1
3552,641119,50:17.0,control,old_page,1
3563,926628,48:05.9,treatment,new_page,1
3565,777446,55:11.7,treatment,new_page,1
3583,636108,30:17.7,treatment,new_page,1
3613,844049,45:04.6,control,old_page,1
3614,819129,16:56.6,treatment,new_page,1
3621,930132,26:25.2,treatment,new_page,1
3622,809059,51:06.6,control,old_page,1
3659,901054,55:15.4,treatment,new_page,1
3683,928219,42:46.8,treatment,new_page,1
3692,821104,22:59.4,control,old_page,1
3706,701372,36:48.9,control,old_page,1
3713,857829,31:16.4,control,old_page,1
3722,838529,10:47.8,control,old_page,1
3725,650631,02:12.9,control,old_page,1
3726,696917,06:39.0,treatment,new_page,1
3734,649201,02:48.4,control,old_page,1
3735,909110,13:09.4,treatment,new_page,1
3757,889892,40:36.5,treatment,new_page,1
3767,778372,54:25.0,treatment,new_page,1
3775,746398,35:28.0,treatment,new_page,1
3776,700666,57:54.6,treatment,new_page,1
3779,863934,38:16.0,control,old_page,1
3782,806749,15:05.7,control,old_page,1
3786,693874,15:03.9,treatment,new_page,1
3797,862052,42:26.8,treatment,new_page,1
3804,909680,00:50.6,control,old_page,1
3823,852307,43:14.9,treatment,new_page,1
3831,800345,30:02.0,control,old_page,1
3835,718385,57:09.2,control,old_page,1
3837,725872,33:46.5,control,old_page,1
3848,862290,24:23.1,treatment,new_page,1
3853,792523,17:12.8,treatment,new_page,1
3858,810357,20:43.8,treatment,new_page,1
3865,840632,29:42.6,control,old_page,1
3868,776005,05:56.5,treatment,new_page,1
3874,704223,40:13.5,treatment,new_page,1
3885,724642,04:51.1,treatment,new_page,1
3890,845071,11:30.7,treatment,new_page,1
3905,799167,15:21.3,control,old_page,1
3909,706621,51:24.5,treatment,new_page,1
3911,748322,10:53.4,treatment,new_page,1
3915,635155,40:16.9,control,old_page,1
3938,769697,02:50.5,control,old_page,1
3945,791103,30:14.8,control,old_page,1
3948,904994,34:03.9,control,old_page,1
3952,670417,52:14.9,control,old_page,1
3963,689877,11:06.7,treatment,new_page,1
3964,815099,15:08.0,control,old_page,1
3987,853768,46:33.9,treatment,new_page,1
3988,700102,31:34.6,control,old_page,1
4036,802988,16:58.2,treatment,new_page,1
4045,871259,09:35.7,treatment,new_page,1
4058,854525,19:29.8,control,old_page,1
4075,820906,38:03.9,treatment,new_page,1
4096,672338,17:56.2,control,old_page,1
4097,795477,45:19.2,treatment,new_page,1
4100,842244,47:38.5,control,old_page,1
4107,726347,38:59.8,control,old_page,1
4126,865360,20:15.3,control,old_page,1
4127,824646,58:38.2,treatment,new_page,1
4132,806348,57:58.5,control,old_page,1
4133,757610,00:32.6,control,old_page,1
4155,690448,03:51.7,control,old_page,1
4157,801361,47:02.0,treatment,new_page,1
4166,793820,41:44.9,control,old_page,1
4167,910910,27:43.4,treatment,new_page,1
4179,860079,35:41.1,control,old_page,1
4183,636990,39:54.2,treatment,new_page,1
4186,679787,27:13.6,treatment,new_page,1
4187,663936,39:03.8,control,old_page,1
4190,765078,33:26.3,control,old_page,1
4193,657051,18:50.0,treatment,new_page,1
4194,631829,37:15.8,treatment,new_page,1
4199,748434,56:12.0,control,old_page,1
4233,707155,01:32.2,treatment,new_page,1
4245,642599,23:07.3,control,old_page,1
4248,633979,57:31.4,control,old_page,1
4269,639123,22:05.3,control,old_page,1
4273,801880,47:13.9,treatment,new_page,1
4283,691650,34:36.3,control,old_page,1
4297,665237,50:55.3,treatment,new_page,1
4305,727733,17:28.3,control,old_page,1
4309,726295,50:12.2,treatment,new_page,1
4313,854363,19:49.9,control,old_page,1
4334,702926,14:30.0,control,old_page,1
4335,683222,35:58.5,treatment,new_page,1
4367,788358,22:53.2,control,old_page,1
4368,803138,49:39.3,control,old_page,1
4374,684759,34:52.7,treatment,new_page,1
4393,772827,06:44.1,control,old_page,1
4416,832408,45:56.8,treatment,new_page,1
4424,828196,40:05.0,control,old_page,1
4428,821870,33:31.7,treatment,new_page,1
4430,879531,57:03.0,treatment,new_page,1
4449,793177,26:27.4,treatment,new_page,1
4455,779377,35:40.6,control,old_page,1
4456,787596,33:16.3,control,old_page,1
4458,772133,13:58.7,treatment,new_page,1
4459,679300,30:49.9,treatment,new_page,1
4479,797722,02:01.1,treatment,new_page,1
4483,887640,47:23.9,treatment,new_page,1
4487,678965,47:24.0,control,old_page,1
4489,876896,30:07.1,treatment,new_page,1
4494,657707,31:09.7,treatment,new_page,1
4501,921463,53:42.6,control,old_page,1
4502,661521,50:58.9,control,old_page,1
4509,784287,15:19.1,treatment,new_page,1
4519,897212,24:33.6,control,old_page,1
4539,779134,23:17.7,treatment,new_page,1
4541,647282,19:29.9,treatment,new_page,1
4547,837730,13:46.9,control,old_page,1
4555,689119,56:29.2,control,old_page,1
4573,871826,35:08.0,treatment,new_page,1
4577,934170,32:03.5,treatment,new_page,1
4578,856943,25:55.1,treatment,new_page,1
4581,747810,37:34.7,treatment,new_page,1
4583,685256,44:25.3,treatment,new_page,1
4589,696031,34:49.0,control,old_page,1
4592,811639,02:25.0,treatment,new_page,1
4615,642115,32:28.5,treatment,new_page,1
4629,903144,34:56.9,treatment,new_page,1
4630,767594,20:21.2,treatment,new_page,1
4631,845335,36:05.5,treatment,new_page,1
4650,829178,22:40.1,control,old_page,1
4673,644363,13:20.8,treatment,new_page,1
4680,639298,20:32.9,control,old_page,1
4696,905652,22:40.7,treatment,new_page,1
4703,761699,59:32.1,treatment,new_page,1
4707,695912,06:31.7,treatment,new_page,1
4719,891854,55:11.3,treatment,new_page,1
4733,809915,32:21.8,control,old_page,1
4740,810776,59:59.8,treatment,new_page,1
4746,847677,02:51.2,control,old_page,1
4749,871375,20:14.4,control,old_page,1
4752,902212,42:06.4,treatment,new_page,1
4783,723849,33:23.8,treatment,new_page,1
4784,805531,54:35.6,treatment,new_page,1
4799,871176,32:31.1,treatment,new_page,1
4800,925994,05:38.0,treatment,new_page,1
4807,657334,45:09.0,control,old_page,1
4816,788108,15:29.3,control,old_page,1
4830,657876,30:34.9,control,old_page,1
4831,887647,41:02.7,control,old_page,1
4835,681095,14:02.6,control,old_page,1
4853,793758,41:38.0,control,old_page,1
4858,916972,38:54.5,treatment,new_page,1
4861,844539,23:43.8,treatment,new_page,1
4867,817801,50:28.2,control,old_page,1
4874,685373,56:58.4,treatment,new_page,1
4883,837362,38:39.2,treatment,new_page,1
4893,662443,05:30.6,treatment,new_page,1
4898,921791,22:04.4,treatment,new_page,1
4903,650390,21:54.6,treatment,new_page,1
4907,870096,51:56.7,control,old_page,1
4908,660592,29:15.7,control,old_page,1
4927,874191,30:56.1,treatment,new_page,1
4936,671737,20:11.5,control,old_page,1
4939,922194,41:51.5,control,old_page,1
4942,735692,49:33.8,treatment,new_page,1
4950,692032,12:37.7,control,old_page,1
4951,755006,22:54.2,treatment,new_page,1
4958,633472,16:00.6,treatment,new_page,1
4964,785138,35:10.6,treatment,new_page,1
4967,857127,50:27.1,treatment,new_page,1
4969,800222,31:22.0,control,old_page,1
4979,943931,38:29.3,control,old_page,1
4984,792992,42:17.0,treatment,new_page,1
4988,788468,42:18.5,control,old_page,1
5002,633150,18:49.4,treatment,new_page,1
5008,816341,38:06.3,treatment,new_page,1
5009,724807,15:15.9,treatment,new_page,1
5018,712849,53:35.9,treatment,new_page,1
5022,944040,07:05.6,treatment,new_page,1
5028,795628,06:35.5,control,old_page,1
5050,673970,39:43.0,treatment,new_page,1
5054,834961,31:46.2,control,old_page,1
5059,664750,26:57.4,control,old_page,1
5064,662128,22:46.8,treatment,new_page,1
5065,723482,27:41.5,treatment,new_page,1
5075,906052,15:15.2,treatment,new_page,1
5094,857034,23:41.5,control,old_page,1
5103,823547,26:13.2,control,old_page,1
5116,791680,39:02.7,treatment,new_page,1
5129,695899,10:41.8,treatment,new_page,1
5137,779450,20:12.3,control,old_page,1
5145,873401,38:13.4,control,old_page,1
5149,701672,30:00.3,control,old_page,1
5160,656467,22:42.8,control,old_page,1
5166,910338,28:16.9,control,old_page,1
5189,677404,20:14.4,treatment,new_page,1
5190,813274,17:31.1,control,old_page,1
5193,642705,11:38.7,control,old_page,1
5206,907909,09:51.3,control,old_page,1
5209,755522,23:41.3,treatment,new_page,1
5217,795690,22:18.5,treatment,new_page,1
5221,697484,56:48.9,control,old_page,1
5224,929533,43:12.9,control,old_page,1
5229,878636,42:00.0,control,old_page,1
5261,818128,27:23.9,treatment,new_page,1
5265,847477,33:04.7,treatment,new_page,1
5272,745667,05:58.9,control,old_page,1
5274,907510,26:16.0,treatment,new_page,1
